student_id,attendance,cgpa,aptitude_score,coding_score,communication_score,mock_exam_score,backlogs,career_interest,placement_status,exam_selected
S00163,63,5.93,55,87,82,57,3,Software Engineer,Placed,SkillsCert
S00164,66,7.72,83,14,3,35,1,Data Scientist,Not Placed,GATE
S00165,76,8.45,92,11,83,72,1,Data Scientist,In Progress,No exam
S00166,70,8.04,58,84,61,21,1,Cybersecurity,Placed,GATE
S00167,74,7.83,62,23,85,51,0,AI Researcher,In Progress,No exam
S00168,76,6.39,88,50,99,83,1,Software Engineer,In Progress,GATE
S00169,79,9.28,43,59,8,60,0,AI Researcher,Not Placed,GATE
S00170,89,6.97,90,12,19,19,1,Cybersecurity,Not Placed,GATE
S00171,100,9.94,78,65,39,73,1,Cloud Engineer,In Progress,GRE
S00172,64,6.16,64,24,22,18,2,Cloud Engineer,Not Placed,No exam
S00173,72,7.09,92,77,77,36,1,Data Scientist,In Progress,RRB-NTPC
S00174,94,7.52,3,76,80,67,1,AI Researcher,Placed,CAT
S00175,100,5.96,48,88,56,25,0,Cloud Engineer,In Progress,SkillsCert
S00176,77,7.49,4,28,51,11,0,Cloud Engineer,Not Placed,GATE
S00177,99,8.11,91,12,79,97,1,AI Researcher,In Progress,No exam
S00178,87,6.66,15,51,24,76,0,AI Researcher,Not Placed,SkillsCert
S00179,64,7.84,98,31,8,65,1,AI Researcher,Not Placed,GATE
S00180,64,5.96,88,32,84,80,3,Cybersecurity,In Progress,RRB-NTPC
S00181,61,8.64,12,15,16,26,0,AI Researcher,Not Placed,CAT
S00182,83,7.06,31,3,26,31,0,Software Engineer,Not Placed,No exam
S00183,89,7.79,37,29,75,68,0,Cloud Engineer,In Progress,RRB-NTPC
S00184,79,7.12,56,37,97,63,0,Cloud Engineer,In Progress,CAT
S00185,78,5.47,59,34,53,21,1,AI Researcher,Not Placed,RRB-NTPC
S00186,90,6.6,12,62,86,37,0,Software Engineer,In Progress,GRE
S00187,96,6.93,87,57,29,17,0,Data Scientist,Not Placed,SkillsCert
S00188,61,8.64,95,71,47,1,0,Cloud Engineer,In Progress,No exam
S00189,90,9.98,39,24,56,23,0,Business Analyst,In Progress,RRB-NTPC
S00190,92,6.2,18,91,64,30,1,Software Engineer,In Progress,GRE
S00191,72,6.78,0,7,84,10,0,Cybersecurity,Not Placed,SkillsCert
S00192,81,8.18,79,21,8,32,1,Software Engineer,Not Placed,No exam
S00193,61,6.42,48,44,69,72,4,Cloud Engineer,In Progress,CAT
S00194,81,5.68,93,9,39,37,0,Cloud Engineer,Not Placed,No exam
S00195,77,6.65,51,56,43,80,0,Cybersecurity,In Progress,CAT
S00196,83,6.62,58,85,41,26,1,Software Engineer,In Progress,No exam
S00197,92,7.26,82,48,30,79,0,Cybersecurity,Not Placed,No exam
S00198,82,8.19,2,21,76,96,0,Cloud Engineer,In Progress,GATE
S00199,71,7.85,78,8,84,98,0,AI Researcher,In Progress,CAT
S00200,70,6.11,4,71,83,98,1,AI Researcher,In Progress,GRE
S00201,61,8.24,24,3,90,77,0,Business Analyst,In Progress,No exam
S00202,96,7.17,11,8,78,20,0,Data Scientist,Not Placed,No exam
S00203,85,8.32,79,91,16,75,1,Business Analyst,In Progress,No exam
S00204,87,8.17,32,66,46,92,1,Data Scientist,In Progress,GATE
S00205,99,7.29,13,3,99,9,0,Cloud Engineer,In Progress,No exam
S00206,73,9.49,62,55,40,35,0,Business Analyst,In Progress,SkillsCert
S00207,86,8.09,46,84,16,55,1,Cloud Engineer,In Progress,No exam
S00208,100,7.1,89,64,45,55,0,Business Analyst,In Progress,CAT
S00209,75,7.72,78,73,56,77,1,Software Engineer,In Progress,CAT
S00210,91,9.04,93,92,79,94,1,Cybersecurity,Placed,GRE
S00211,60,7.84,24,52,68,46,1,Software Engineer,In Progress,No exam
S00212,78,5.53,100,91,24,28,1,Software Engineer,In Progress,GATE
S00213,98,6.42,64,35,7,27,1,Cybersecurity,Not Placed,RRB-NTPC
S00214,66,6.52,31,54,31,2,0,Software Engineer,Not Placed,RRB-NTPC
S00215,63,6.15,91,83,47,30,3,Cybersecurity,In Progress,GRE
S00216,98,8.33,42,13,11,100,0,Business Analyst,Not Placed,SkillsCert
S00217,65,8.73,73,80,72,77,0,Software Engineer,Placed,GATE
S00218,83,6.49,8,94,11,87,1,Cloud Engineer,In Progress,SkillsCert
S00219,87,8.19,87,99,12,66,0,Data Scientist,In Progress,GRE
S00220,75,7.69,56,52,19,24,1,Software Engineer,Not Placed,GATE
S00221,85,5.66,2,1,29,77,1,Cybersecurity,Not Placed,GRE
S00222,78,6.19,70,45,15,37,0,Software Engineer,Not Placed,GRE
S00223,86,5.34,73,82,94,83,1,Business Analyst,Placed,SkillsCert
S00224,93,7.01,99,46,50,27,0,Cybersecurity,In Progress,SkillsCert
S00225,65,6.95,53,9,81,16,0,Data Scientist,Not Placed,GATE
S00226,68,5.5,45,88,82,31,3,Cybersecurity,In Progress,No exam
S00227,73,5.03,14,90,90,61,0,Data Scientist,Placed,RRB-NTPC
S00228,88,9.75,82,23,14,61,1,Business Analyst,Not Placed,No exam
S00229,86,9.88,49,66,78,21,1,Cybersecurity,Placed,GRE
S00230,67,9.7,94,27,1,20,1,Data Scientist,Not Placed,No exam
S00231,81,7.06,55,76,29,26,0,Cloud Engineer,In Progress,SkillsCert
S00232,95,9.38,45,47,26,87,0,Cloud Engineer,In Progress,RRB-NTPC
S00233,86,7.12,35,90,50,100,1,AI Researcher,In Progress,GATE
S00234,71,8.87,9,79,54,30,1,Data Scientist,In Progress,GATE
S00235,100,9.27,35,56,5,34,0,Data Scientist,Not Placed,GATE
S00236,100,9.41,95,20,67,61,1,AI Researcher,In Progress,CAT
S00237,89,9.82,64,67,32,41,0,Cybersecurity,In Progress,GRE
S00238,68,5.36,42,2,100,86,4,AI Researcher,Not Placed,CAT
S00239,73,5.91,93,73,72,54,0,AI Researcher,In Progress,CAT
S00240,67,6.08,19,91,10,6,5,Data Scientist,Not Placed,CAT
S00241,92,7.21,80,26,11,61,0,AI Researcher,Not Placed,SkillsCert
S00242,62,8.91,46,90,64,82,0,Business Analyst,Placed,RRB-NTPC
S00243,69,8.67,8,14,39,22,0,Cybersecurity,Not Placed,GATE
S00244,62,5.96,45,5,91,46,5,Business Analyst,Not Placed,CAT
S00245,75,5.54,8,100,95,30,1,Cloud Engineer,Placed,GRE
S00246,78,7.36,91,91,99,97,0,Cybersecurity,Placed,CAT
S00247,62,6.73,65,21,17,77,0,Software Engineer,Not Placed,GRE
S00248,100,5.94,95,96,56,65,1,Software Engineer,In Progress,GATE
S00249,85,8.64,8,64,48,57,0,Cybersecurity,In Progress,GRE
S00250,96,9.87,31,70,75,14,1,Business Analyst,Placed,No exam
S00251,90,9.53,11,92,59,50,0,Cybersecurity,Placed,CAT
S00252,66,7.39,66,31,4,74,1,AI Researcher,Not Placed,GATE
S00253,80,7.21,59,36,28,26,0,Data Scientist,Not Placed,GATE
S00254,60,6.93,53,55,69,78,1,AI Researcher,In Progress,No exam
S00255,80,6.38,79,9,27,70,1,Data Scientist,Not Placed,GATE
S00256,79,7.62,20,49,82,47,1,Cloud Engineer,In Progress,No exam
S00257,89,6.02,42,41,1,68,1,Cloud Engineer,Not Placed,GRE
S00258,94,9.02,60,21,84,69,1,Cybersecurity,In Progress,CAT
S00259,71,7.99,47,49,82,68,0,Cloud Engineer,In Progress,RRB-NTPC
S00260,88,8.58,65,98,67,80,0,Data Scientist,Placed,No exam
S00261,96,9.69,100,36,93,9,1,Cloud Engineer,Placed,CAT
S00262,99,5.47,0,43,57,20,0,Cybersecurity,Not Placed,RRB-NTPC
S00263,94,7.36,52,35,89,69,0,Software Engineer,In Progress,RRB-NTPC
S00264,73,5.71,14,56,57,59,1,Software Engineer,In Progress,RRB-NTPC
S00265,80,7.05,95,38,70,42,1,Cloud Engineer,In Progress,GATE
S00266,67,9.6,26,95,80,1,0,Cybersecurity,Placed,GATE
S00267,76,9.75,82,91,74,69,1,AI Researcher,Placed,RRB-NTPC
S00268,82,8.61,96,32,53,4,1,Cloud Engineer,In Progress,RRB-NTPC
S00269,60,6.13,17,83,14,56,2,Data Scientist,Not Placed,GRE
S00270,81,6.95,100,1,86,21,1,Business Analyst,Not Placed,RRB-NTPC
S00271,77,5.25,59,77,68,33,1,Cloud Engineer,In Progress,SkillsCert
S00272,92,5.47,93,18,53,63,1,Software Engineer,Not Placed,SkillsCert
S00273,86,7.82,53,46,14,66,1,AI Researcher,Not Placed,GRE
S00274,70,8.29,65,73,23,53,0,Software Engineer,In Progress,CAT
S00275,91,5.95,35,78,59,83,1,AI Researcher,In Progress,GATE
S00276,99,5.9,27,35,36,69,1,Cybersecurity,Not Placed,No exam
S00277,79,6.5,50,20,6,91,0,Data Scientist,Not Placed,CAT
S00278,90,8.05,6,49,12,76,1,Data Scientist,Not Placed,RRB-NTPC
S00279,90,7.39,17,72,73,66,1,Data Scientist,In Progress,GATE
S00280,95,6.62,28,89,56,51,0,Cloud Engineer,In Progress,No exam
S00281,86,6.18,89,52,68,78,1,Software Engineer,In Progress,RRB-NTPC
S00282,90,8.83,14,18,94,51,0,Software Engineer,In Progress,RRB-NTPC
S00283,97,5.29,68,25,8,27,0,Cloud Engineer,Not Placed,GATE
S00284,88,7.45,68,95,54,45,0,Cloud Engineer,In Progress,SkillsCert
S00285,82,6.0,6,7,73,2,0,Business Analyst,Not Placed,SkillsCert
S00286,78,7.29,79,91,29,55,0,Cloud Engineer,In Progress,No exam
S00287,89,7.12,82,13,90,74,0,Business Analyst,In Progress,No exam
S00288,97,9.43,10,80,15,38,1,Software Engineer,In Progress,GATE
S00289,68,7.95,65,17,84,8,0,Cloud Engineer,In Progress,RRB-NTPC
S00290,81,5.62,10,95,8,46,0,Business Analyst,Not Placed,RRB-NTPC
S00291,78,9.95,0,77,56,11,0,Business Analyst,Placed,GRE
S00292,62,9.53,27,56,99,96,1,AI Researcher,Placed,CAT
S00293,77,6.6,47,0,78,7,0,Cybersecurity,Not Placed,SkillsCert
S00294,65,7.75,6,95,5,11,0,Business Analyst,In Progress,GATE
S00295,78,6.6,92,29,46,79,1,Cloud Engineer,Not Placed,GATE
S00296,62,9.03,23,5,94,26,0,Software Engineer,In Progress,SkillsCert
S00297,78,8.15,70,42,75,98,1,Cloud Engineer,In Progress,SkillsCert
S00298,70,9.07,50,86,80,54,1,Software Engineer,Placed,SkillsCert
S00299,97,8.89,54,89,45,25,1,AI Researcher,In Progress,CAT
S00300,70,5.19,82,99,35,99,1,Software Engineer,In Progress,GRE
S00301,60,6.48,81,34,83,100,5,AI Researcher,In Progress,CAT
S00302,79,6.76,90,23,35,0,0,AI Researcher,Not Placed,CAT
S00303,91,5.85,26,9,32,37,0,Software Engineer,Not Placed,GRE
S00304,65,5.96,71,48,20,72,5,AI Researcher,Not Placed,SkillsCert
S00305,77,6.93,4,85,66,0,0,Cybersecurity,In Progress,SkillsCert
S00306,79,7.83,38,93,86,52,0,AI Researcher,Placed,CAT
S00307,81,9.73,99,25,46,24,0,Software Engineer,In Progress,RRB-NTPC
S00308,64,6.36,23,71,42,51,5,Business Analyst,In Progress,GRE
S00309,95,9.52,64,38,43,34,0,AI Researcher,In Progress,SkillsCert
S00310,84,6.41,94,43,61,26,0,AI Researcher,In Progress,CAT
S00311,60,9.64,1,65,13,57,0,Cloud Engineer,In Progress,SkillsCert
S00312,69,8.18,4,16,47,23,1,Cloud Engineer,Not Placed,CAT
S00313,75,5.32,35,6,91,10,0,Cloud Engineer,Not Placed,SkillsCert
S00314,88,9.04,63,79,93,7,1,Software Engineer,Placed,CAT
S00315,94,7.56,61,63,88,71,0,Data Scientist,Placed,CAT
S00316,75,9.27,60,69,32,15,1,Cloud Engineer,In Progress,RRB-NTPC
S00317,95,8.06,88,91,18,85,1,Cloud Engineer,In Progress,SkillsCert
S00318,61,7.89,87,95,76,73,1,Data Scientist,Placed,No exam
S00319,93,7.65,41,62,11,45,1,Data Scientist,Not Placed,CAT
S00320,69,7.17,78,30,72,44,0,Software Engineer,In Progress,No exam
S00321,76,5.83,80,82,13,62,1,Cybersecurity,Not Placed,No exam
S00322,80,5.85,4,90,71,6,0,AI Researcher,In Progress,CAT
S00323,86,6.61,24,92,43,19,1,Business Analyst,In Progress,GATE
S00324,93,6.16,74,49,96,29,0,Cloud Engineer,In Progress,GRE
S00325,67,9.78,100,63,36,80,1,Cloud Engineer,In Progress,RRB-NTPC
S00326,86,8.69,98,31,85,78,1,Data Scientist,In Progress,GATE
S00327,73,7.47,7,31,20,16,1,Data Scientist,Not Placed,GRE
S00328,92,7.91,98,23,8,16,1,Cybersecurity,Not Placed,SkillsCert
S00329,72,9.0,48,91,9,32,0,Software Engineer,In Progress,SkillsCert
S00330,70,9.09,16,12,81,63,0,Cybersecurity,In Progress,GATE
S00331,63,5.14,79,0,73,85,4,AI Researcher,Not Placed,SkillsCert
S00332,70,6.9,4,98,3,65,1,Business Analyst,In Progress,RRB-NTPC
S00333,83,5.74,72,24,48,21,1,Data Scientist,Not Placed,GRE
S00334,98,5.55,19,80,97,43,1,Business Analyst,Placed,No exam
S00335,99,5.11,66,96,6,0,1,Cloud Engineer,Not Placed,CAT
S00336,93,8.37,8,0,11,26,0,Cybersecurity,Not Placed,SkillsCert
S00337,60,6.9,77,90,18,16,1,Cloud Engineer,In Progress,GATE
S00338,92,5.22,56,56,36,15,0,Data Scientist,Not Placed,RRB-NTPC
S00339,73,5.53,79,5,7,4,1,AI Researcher,Not Placed,GATE
S00340,77,5.8,15,3,39,62,0,Data Scientist,Not Placed,SkillsCert
S00341,82,9.86,20,57,10,18,1,Cybersecurity,In Progress,RRB-NTPC
S00342,85,6.4,45,32,26,24,0,Software Engineer,Not Placed,GATE
S00343,73,7.84,49,25,33,46,0,Business Analyst,Not Placed,No exam
S00344,90,5.91,3,54,1,25,1,Cybersecurity,Not Placed,RRB-NTPC
S00345,79,9.75,94,18,20,19,1,Cybersecurity,Not Placed,SkillsCert
S00346,81,8.09,83,39,13,53,1,Cybersecurity,Not Placed,RRB-NTPC
S00347,82,6.56,71,61,5,8,1,Software Engineer,Not Placed,GRE
S00348,72,6.59,97,99,42,86,1,Cybersecurity,In Progress,RRB-NTPC
S00349,66,5.48,84,16,82,14,4,Cloud Engineer,Not Placed,No exam
S00350,63,6.03,30,60,93,42,3,Cloud Engineer,In Progress,CAT
S00351,86,7.04,80,60,76,7,0,Business Analyst,In Progress,RRB-NTPC
S00352,66,5.99,53,97,56,100,4,Software Engineer,In Progress,GATE
S00353,83,8.38,70,91,5,4,1,Cybersecurity,In Progress,No exam
S00354,67,7.14,85,86,39,0,0,Software Engineer,In Progress,CAT
S00355,89,8.43,18,12,65,76,0,AI Researcher,Not Placed,No exam
S00356,72,8.55,30,71,86,42,0,Business Analyst,Placed,GATE
S00357,90,6.63,46,70,62,12,1,Cloud Engineer,In Progress,CAT
S00358,92,6.8,97,77,43,77,0,Software Engineer,In Progress,GRE
S00359,82,7.24,4,16,60,11,0,Data Scientist,Not Placed,CAT
S00360,93,8.52,79,68,27,55,1,Software Engineer,In Progress,No exam
S00361,66,6.15,96,7,0,80,4,Data Scientist,Not Placed,CAT
S00362,91,5.87,43,47,62,71,1,Business Analyst,In Progress,SkillsCert
S00363,88,5.97,32,55,84,91,0,Business Analyst,In Progress,RRB-NTPC
S00364,81,6.23,30,47,55,43,0,Business Analyst,Not Placed,CAT
